Column1,Czas,Dystans,Średnie tętno,Maksymalne tętno,Wzrost wysokości,Spadek wysokości,Średni rytm biegu,Średnia długość kroku,Kalorie,Maksymalny rytm biegu,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap(s/km),Cadence median,Cadence std,File id,Type
144,2625.0,8.34,141,193,36.0,36.0,164,1.11,486.0,200,147.0,13.733968184256428,349.85114602499164,244.5,386.225,151.0,170.5,24.895484477958853,6488890502,fartelek
116,1523.0,5.68,145,170,69.0,69.0,162,1.38,318.0,168,145.0,3.484090826727812,12.579745625409124,264.5,267.5,255.0,163.0,2.70801280154532,6488886949,BC 1
251,1258.0,4.51,134,154,29.0,29.0,160,1.34,226.0,168,136.0,5.192301994298868,9.971960689854328,277.0,277.4,265.0,160.0,0.4898979485566356,6482198263,Rozgrzewka
131,2356.0,10.49,154,172,36.0,36.0,172,1.55,535.0,180,156.5,9.16022500936643,10.058506535217257,225.0,224.0909090909091,213.0,172.0,4.231987975198208,6482197714,BC 2
179,1109.0,4.03,140,167,33.0,33.0,163,1.34,218.0,170,141.0,4.261455150532503,6.519202405202649,272.5,275.0,269.0,163.0,1.3564659966250536,6482196750,Rozgrzewka
329,1201.0,4.25,129,141,13.0,13.0,160,1.33,197.0,163,130.0,2.416609194718914,18.641351882307248,275.5,283.0,267.0,161.0,0.8,6482196193,Rozgrzewka
93,1659.0,5.98,137,165,46.0,46.0,160,1.35,302.0,167,138.0,2.114762923408253,5.343739847293799,279.0,277.3333333333333,269.0,161.0,1.950783318453271,6482195741,BC 1
289,7854.0,30.01,150,167,246.0,246.0,162,1.41,1405.0,171,151.0,3.281138352245526,8.704341190208225,260.0,261.6333333333333,248.0,162.0,1.843513814481232,6466247135,BC 1
34,3427.0,13.4,149,180,101.0,101.0,167,1.38,666.0,189,148.0,7.558273612406473,143.75267310534002,212.0,297.89473684210526,185.0,174.5,13.7,6460379689,BC 3
205,1068.0,3.84,140,163,30.0,30.0,162,1.33,215.0,168,141.0,8.613216588476108,11.97914855071094,275.5,278.0,264.0,163.0,1.0897247358851685,6460377101,Rozgrzewka
