"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:07.5","5:07.5","1.00","5:08","115","127","2","7","165","233","1.18","11.2","36","22.0","4:25","173","5:06","5:06"
"2","4:27.2","9:34.7","1.00","4:27","130","132","2","0","163","221","1.38","12.0","39","17.0","4:06","167","4:27","4:27"
"3","4:19.2","13:54","1.00","4:19","129","132","1","1","160","220","1.44","12.4","35","15.0","3:59","163","4:19","4:19"
"4","4:21.8","18:16","1.00","4:22","130","134","5","3","160","220","1.43","12.6","34","15.0","4:12","167","4:21.8","4:22"
"5","4:22.0","22:38","1.00","4:22","129","134","0","4","159","219","1.44","12.8","33","15.0","4:13","163","4:22.0","4:22"
"6","4:15.6","26:53","1.00","4:16","132","136","1","0","160","218","1.47","12.7","32","14.0","3:57","190","4:15.6","4:16"
"7","4:15.9","31:09","1.00","4:16","136","141","4","0","159","217","1.47","12.8","32","14.0","4:17","164","4:15.9","4:16"
"8","4:05.2","35:14","1.00","4:05","135","145","9","8","165","217","1.49","11.9","30","15.0","3:21","189","4:04","4:04"
"9","4:11.9","39:26","1.00","4:12","133","136","0","4","162","216","1.47","12.4","30","15.0","4:02","168","4:11.9","4:12"
"10","4:09.7","43:36","1.00","4:10","133","137","2","5","162","215","1.49","12.6","29","14.0","3:56","172","4:09","4:09"
"11","4:08.1","47:44","1.00","4:08","136","140","2","1","160","214","1.51","12.9","29","13.0","4:07","163","4:08","4:08"
"12","4:05.3","51:49","1.00","4:05","135","139","5","4","161","215","1.52","12.8","27","13.0","3:51","182","4:05.3","4:05"
"13","4:11.6","56:01","1.00","4:12","134","141","2","3","160","217","1.49","12.8","27","13.0","3:58","180","4:11","4:11"
"14","4:14.3","1:00:15","1.00","4:14","134","138","0","2","161","218","1.46","12.5","27","13.0","3:48","173","4:14.3","4:14"
"15","4:23.2","1:04:38","1.00","4:23","135","137","5","4","160","219","1.42","12.6","27","14.0","3:50","173","4:23","4:23"
"16","0:03.7","1:04:42","0.02","2:49","136","136","1","0","163","220","2.18","12.1","0","14.0","4:40","164","0:03","2:17"
"Summary","1:04:42","1:04:42","15.02","4:18","132","145","42","46","161","219","1.44","12.5","467","14.9","3:21","190","1:04:37","4:18"
