"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","0:34.1","0:34.1","0.20","2:53","126","149","0","0","131","2.64","3","17.0","2:44","183","0:34","2:53"
"","","Rest","2","0:41.5","1:15.6","0.12","5:36","148","152","0","0","158","1.13","7","16.0","2:44","177","0:41.5","5:36"
"","2","Run","3","0:34.8","1:50.4","0.20","2:53","147","155","1","1","173","2.01","6","15.0","2:48","183","0:34.8","2:53"
"","","Rest","4","0:41.8","2:32.2","0.11","6:15","149","156","1","0","152","1.05","7","14.0","2:57","172","0:40","5:59"
"","3","Run","5","0:34.3","3:06.5","0.20","2:49","146","157","3","4","151","2.35","6","14.0","2:40","180","0:33","2:43"
"","","Rest","6","0:41.0","3:47.5","0.12","5:54","153","158","3","1","155","1.09","7","13.0","2:40","177","0:41","5:54"
"","4","Run","7","0:33.3","4:20.8","0.19","2:52","151","162","3","0","162","2.15","6","12.0","2:34","183","0:33","2:50"
"","","Rest","8","0:42.9","5:03.7","0.12","6:01","155","163","0","2","129","1.29","8","12.0","2:39","174","0:42.9","6:01"
"","5","Run","9","0:33.5","5:37.2","0.19","2:57","152","162","5","2","164","2.07","6","12.0","2:39","177","0:33","2:54"
"","","Rest","10","3:40.8","9:18.1","0.56","6:35","133","163","1","5","142","1.07","30","12.0","2:43","175","3:40.8","6:35"
"","6","Run","11","0:33.3","9:51.4","0.22","2:32","136","156","1","1","167","2.36","4","12.0","2:21","180","0:33.3","2:32"
"","","Rest","12","0:38.9","10:30","0.12","5:37","154","158","2","1","155","1.14","7","11.0","2:32","177","0:38.9","5:37"
"","7","Run","13","0:34.0","11:04","0.19","2:59","153","162","0","0","173","1.94","6","11.0","2:43","177","0:33","2:54"
"","","Rest","14","0:37.5","11:42","0.12","5:17","156","163","0","0","150","1.26","7","11.0","2:45","175","0:37.5","5:17"
"","8","Run","15","0:33.7","12:15","0.19","2:57","152","161","2","1","172","1.97","6","11.0","2:34","176","0:33.7","2:57"
"","","Rest","16","0:38.7","12:54","0.12","5:35","157","162","0","1","162","1.10","7","11.0","2:46","239","0:38","5:29"
"","9","Run","17","0:33.9","13:28","0.22","2:34","155","164","1","1","172","2.26","6","11.0","2:27","177","0:33.9","2:34"
"","","Rest","18","0:37.4","14:06","0.11","5:40","160","165","0","0","125","1.41","7","10.0","2:40","174","0:37.4","5:40"
"","10","Run","19","0:34.1","14:40","0.20","2:49","155","163","4","4","171","2.08","6","10.0","2:38","177","0:34","2:48"
"","","Rest","20","3:27.4","18:07","0.51","6:48","133","164","3","3","133","1.11","24","10.0","2:42","174","3:16","6:25"
"","11","Run","21","0:34.6","18:42","0.20","2:49","132","153","3","3","150","2.37","3","10.0","2:33","176","0:34.6","2:49"
"","","Rest","22","0:35.8","19:17","0.11","5:19","152","154","0","0","157","1.20","6","10.0","2:40","174","0:35.8","5:19"
"","12","Run","23","0:34.5","19:52","0.21","2:46","155","162","0","0","173","2.09","6","10.0","2:34","179","0:34","2:44"
"","","Rest","24","0:32.8","20:25","0.11","5:06","159","163","0","0","158","1.24","6","10.0","2:47","172","0:32.8","5:06"
"","13","Run","25","0:33.6","20:58","0.20","2:45","155","161","2","2","172","2.11","6","10.0","2:37","176","0:33.6","2:45"
"","","Rest","26","0:35.4","21:34","0.11","5:22","159","163","0","0","158","1.18","6","10.0","2:42","175","0:35","5:18"
"","14","Run","27","0:33.5","22:07","0.20","2:51","156","165","1","0","174","2.02","6","10.0","2:40","178","0:33","2:48"
"","","Rest","28","0:38.7","22:46","0.11","5:50","159","166","0","1","153","1.12","7","10.0","2:40","177","0:38.7","5:50"
"","15","Run","29","0:33.6","23:20","0.20","2:45","154","162","4","3","172","2.11","6","10.0","2:39","177","0:33.6","2:45"
"","","Rest","30","2:58.1","26:18","0.47","6:19","136","164","1","1","144","1.10","21","10.0","2:40","176","2:58","6:19"
"","16","Run","31","0:33.5","26:51","0.20","2:49","134","153","2","2","156","2.29","3","10.0","2:33","180","0:33","2:46"
"","","Rest","32","0:41.8","27:33","0.11","6:10","152","157","1","2","114","1.42","7","10.0","2:38","177","0:41.8","6:10"
"","17","Run","33","0:33.4","28:06","0.19","2:52","151","161","0","0","174","2.00","5","10.0","2:36","179","0:33","2:50"
"","","Rest","34","0:32.5","28:39","0.11","4:50","160","163","2","1","159","1.30","6","10.0","2:42","177","0:32.5","4:50"
"","18","Run","35","0:33.3","29:12","0.20","2:50","157","163","2","1","175","2.02","6","10.0","2:38","182","0:33","2:49"
"","","Rest","36","0:40.8","29:53","0.11","5:56","159","166","0","2","140","1.21","7","9.0","2:40","177","0:40.8","5:56"
"","19","Run","37","0:33.7","30:26","0.20","2:47","153","161","0","0","173","2.08","5","10.0","2:40","177","0:33.7","2:47"
"","","Rest","38","0:38.2","31:05","0.11","5:59","157","163","0","0","136","1.23","7","9.0","2:44","176","0:38","5:58"
"","20","Run","39","0:33.6","31:38","0.21","2:40","155","166","2","2","173","2.17","5","9.0","2:34","178","0:33.6","2:40"
"","","Rest","40","3:03.7","34:42","0.51","5:58","138","167","3","1","134","1.25","20","9.0","2:35","176","2:56","5:43"
"","21","Run","41","0:34.2","35:16","0.20","2:47","137","153","4","2","159","2.26","3","9.0","2:33","177","0:34","2:46"
"","","Rest","42","0:39.4","35:56","0.11","5:51","151","157","1","2","152","1.13","6","9.0","2:35","176","0:39.4","5:51"
"","22","Run","43","0:33.5","36:29","0.19","2:53","150","160","2","1","174","2.00","5","9.0","2:40","177","0:33","2:50"
