"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:22.8","4:22.8","1.00","4:23","121","134","2","0","156","1.46","33","19.0","4:00","170","4:21","4:21"
"2","4:21.0","8:43.9","1.00","4:21","134","139","3","2","160","1.43","38","14.0","4:08","165","4:21","4:21"
"3","4:19.6","13:03","1.00","4:20","136","138","5","1","161","1.44","37","12.0","4:08","165","4:19.6","4:20"
"4","4:19.7","17:23","1.00","4:20","138","142","2","2","161","1.43","36","11.0","4:10","171","4:19","4:19"
"5","4:19.0","21:42","1.00","4:19","137","141","2","0","159","1.45","34","10.0","3:36","165","4:19","4:19"
"6","4:18.7","26:01","1.00","4:19","139","143","4","1","160","1.45","33","9.0","4:15","165","4:18.7","4:19"
"7","4:20.1","30:21","1.00","4:20","138","141","1","2","160","1.45","32","10.0","3:58","169","4:20","4:20"
"8","4:19.6","34:41","1.00","4:20","140","144","1","0","159","1.45","31","10.0","4:06","165","4:19.6","4:20"
"9","4:26.9","39:08","1.00","4:27","139","142","7","1","159","1.42","30","11.0","4:00","163","4:26.9","4:27"
"10","4:20.7","43:28","1.00","4:21","131","140","1","6","159","1.44","26","15.0","4:07","169","4:20","4:20"
"11","4:07.8","47:36","1.00","4:08","135","145","0","0","158","1.53","27","13.0","3:51","165","4:07.8","4:08"
"12","3:58.1","51:34","1.00","3:58","142","147","0","1","161","1.56","29","13.0","3:56","169","3:58","3:58"
"13","4:03.9","55:38","1.00","4:04","142","145","2","4","160","1.54","29","14.0","3:56","167","4:03.9","4:04"
"14","4:04.1","59:42","1.00","4:04","142","144","2","3","159","1.54","27","13.0","3:50","165","4:04","4:04"
"15","4:09.6","1:03:52","1.00","4:10","144","148","0","1","159","1.51","32","11.0","3:58","173","4:09","4:09"
"16","4:07.2","1:07:59","1.00","4:07","145","150","2","3","158","1.53","33","10.0","4:05","163","4:07.2","4:07"
"17","4:01.8","1:12:01","1.00","4:02","144","147","1","1","157","1.58","29","11.0","3:47","163","4:01","4:01"
"18","3:51.7","1:15:52","1.00","3:52","146","149","0","0","159","1.63","31","10.0","3:28","170","3:51.7","3:52"
"19","0:03.3","1:15:56","0.02","3:41","147","147","0","0","157","1.73","0","10.0","3:47","157","0:02","2:13"
"Summary","1:15:56","1:15:56","18.02","4:13","138","150","35","29","159","1.49","567","12.0","3:28","173","1:15:49","4:13"
