"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:45.1","3:45.1","1.00","3:45","136","147","--","7","166","1.60","42","3:45","170","3:45","3:45"
"2","3:53.0","7:38.1","1.00","3:53","142","147","22","5","170","1.52","48","3:40","178","3:53.0","3:53"
"3","3:35.0","11:13","1.00","3:35","145","151","2","8","170","1.65","45","3:29","173","3:35.0","3:35"
"4","3:39.1","14:52","1.00","3:39","140","149","3","14","170","1.61","40","3:28","173","3:39","3:39"
"5","3:39.5","18:32","1.00","3:40","140","144","19","6","174","1.57","40","3:33","181","3:39.5","3:40"
"6","3:38.7","22:10","1.00","3:39","142","145","7","13","170","1.62","40","3:29","175","3:38","3:38"
"7","3:36.4","25:47","1.00","3:36","164","176","--","7","171","1.62","52","3:31","173","3:36.4","3:36"
"8","3:36.2","29:23","1.00","3:36","174","181","20","5","176","1.58","56","3:26","183","3:36","3:36"
"9","3:33.8","32:57","1.00","3:34","184","194","6","14","170","1.65","59","3:21","173","3:33.8","3:34"
"10","3:22.4","36:19","1.00","3:22","186","191","3","9","173","1.71","56","3:18","177","3:22","3:22"
"11","0:04.0","36:23","0.02","3:23","183","183","--","--","174","1.70","1","3:19","175","0:04","3:22"
"Podsumowanie","36:23","36:23","10.02","3:38","155","194","82","88","171","1.61","479","3:18","183","36:22","3:38"
