"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:48.5","0:48.5","0.30","2:41","122","143","--","186","2.00","6","2:32","190","0:48","2:39"
"2","1:59.2","2:47.7","0.16","12:42","128","148","1","126","0.63","21","2:40","184","1:36","10:14"
"3","0:47.1","3:34.8","0.31","2:32","126","156","--","179","2.20","7","2:29","199","0:47","2:32"
"4","2:00.8","5:35.6","0.16","12:23","134","163","--","123","0.65","23","2:33","188","1:50","11:17"
"5","0:47.2","6:22.7","0.31","2:32","128","145","--","184","2.15","7","2:35","195","0:47","2:32"
"6","1:55.8","8:18.5","0.16","11:53","136","149","--","122","0.69","22","2:35","188","1:51","11:24"
"7","0:46.2","9:04.8","0.30","2:32","135","156","--","176","2.24","8","2:29","195","0:46","2:31"
"8","1:56.7","11:01","0.17","11:31","139","155","--","124","0.70","24","2:32","190","1:56.7","11:31"
"9","0:47.7","11:49","0.32","2:30","137","158","--","183","2.18","8","2:34","195","0:47.7","2:30"
"10","1:53.4","13:43","0.15","12:41","142","162","--","120","0.66","23","2:34","189","1:53","12:38"
"11","0:45.4","14:28","0.31","2:26","137","163","--","183","2.24","7","2:29","196","0:45.4","2:26"
"12","0:07.1","14:35","0.03","3:57","158","159","--","185","1.37","1","2:29","194","0:07","3:53"
"Podsumowanie","14:35","14:35","2.68","5:26","134","163","1","146","1.15","157","2:29","199","13:55","5:11"
