"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:35.5","0:35.5","0.14","4:11","112","135","165","1.45","4","3:18","186","0:35.5","4:11"
"2","1:22.2","1:57.7","0.27","5:07","138","146","150","1.30","16","3:18","178","1:22","5:06"
"3","0:33.0","2:30.7","0.16","3:31","139","141","181","1.57","6","3:02","188","0:33.0","3:31"
"4","1:19.9","3:50.5","0.28","4:50","139","141","156","1.33","16","3:02","186","1:19.9","4:50"
"5","0:32.0","4:22.5","0.16","3:26","139","141","184","1.58","6","3:02","194","0:32.0","3:26"
"6","1:04.2","5:26.7","0.23","4:38","142","143","158","1.37","13","3:02","188","1:04","4:37"
"7","0:31.7","5:58.3","0.15","3:30","144","145","183","1.56","6","3:04","190","0:31.7","3:30"
"8","1:04.7","7:03.1","0.23","4:42","144","147","157","1.35","14","3:04","186","1:04.7","4:42"
"9","0:31.5","7:34.5","0.15","3:32","142","143","186","1.52","6","3:03","198","0:31","3:28"
"10","1:03.7","8:38.2","0.23","4:40","144","146","156","1.37","13","3:03","190","1:03.7","4:40"
"11","0:32.2","9:10.4","0.16","3:22","144","146","187","1.59","6","3:00","198","0:32","3:21"
"12","1:02.1","10:12","0.23","4:32","146","151","158","1.40","13","3:01","188","1:02","4:32"
"13","0:31.7","10:44","0.16","3:22","149","151","187","1.59","7","3:01","196","0:31.7","3:22"
"14","1:04.8","11:49","0.22","4:49","150","154","160","1.30","14","3:01","192","1:04","4:45"
"15","0:30.8","12:20","0.15","3:24","148","150","189","1.55","6","3:00","198","0:30.8","3:24"
"16","3:52.6","16:12","0.30","12:48","121","154","136","0.57","30","2:59","197","2:02","6:43"
"Podsumowanie","16:12","16:12","3.21","5:03","137","154","163","1.21","176","2:59","198","14:20","4:28"
