Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,99,7.3,68:13,0,656,,0.10,27.1,,
,00:00:01,99,7.3,08:13,0,656,,0.10,27.1,,
,00:00:02,101,8.4,07:09,0,656,,3.80,27.1,,
,00:00:03,102,9.4,06:23,0,656,,7.60,27.1,,
,00:00:04,103,10.4,05:46,64,656,,11.70,27.1,,
,00:00:05,105,11.3,05:19,75,656,,15.60,27.1,,
,00:00:06,105,12.2,04:55,80,656,,19.80,27.1,,
,00:00:07,105,12.7,04:43,83,657,,24.40,27.1,,
,00:00:08,106,13.0,04:37,85,657,,29.30,27.0,,
,00:00:09,106,13.1,04:35,85,657,,33.90,27.0,,
,00:00:10,106,13.2,04:33,85,657,,38.70,27.0,,
,00:00:11,106,13.2,04:33,85,657,,43.40,27.0,,
,00:00:12,107,13.3,04:31,85,657,,48.00,27.0,,
,00:00:13,107,13.4,04:29,85,657,,52.60,27.0,,
,00:00:14,108,13.4,04:29,85,657,,57.00,27.0,,
,00:00:15,109,13.4,04:29,85,657,,61.40,27.0,,
,00:00:16,109,13.4,04:29,85,657,,65.60,27.0,,
,00:00:17,110,13.3,04:31,85,657,,69.80,27.0,,
,00:00:18,111,13.2,04:33,84,657,,73.80,27.0,,
,00:00:19,112,13.4,04:29,84,657,,77.60,27.0,,
,00:00:20,113,13.5,04:27,86,657,,81.40,26.9,,
,00:00:21,113,13.6,04:25,87,656,,85.50,26.9,,
,00:00:22,114,13.7,04:23,90,656,,89.40,26.9,,
,00:00:23,114,13.8,04:21,90,656,,93.20,26.9,,
,00:00:24,114,13.8,04:21,89,656,,96.80,26.9,,
,00:00:25,115,13.8,04:21,87,656,,100.40,26.9,,
,00:00:26,116,13.8,04:21,85,656,,104.20,26.9,,
,00:00:27,116,13.7,04:23,85,656,,107.80,26.9,,
,00:00:28,116,13.7,04:23,85,656,,111.40,26.9,,
,00:00:29,117,13.6,04:25,84,656,,114.80,26.9,,
