,Czas,Dystans,Średnie tętno,Maksymalne tętno,Wzrost wysokości,Spadek wysokości,Średni rytm biegu,Średnia długość kroku,Kalorie,Maksymalny rytm biegu,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap(s/km),Cadence median,Cadence std,File id,Type
285,1315.0,5.24,164,191,9.0,9.0,164,1.46,338.0,170,166.0,4.58257569495584,9.410632284814874,251.0,251.8,239.0,165.0,1.3743685418725538,5490548789,Rozgrzewka
249,1623.0,7.16,163,183,36.0,36.0,168,1.58,399.0,179,167.0,7.448783457719791,19.107643518140232,225.0,227.42857142857144,201.0,168.0,3.774917217635375,5490547911,BC 3
96,1224.0,4.8,148,166,10.0,10.0,162,1.45,275.0,168,157.0,15.548633380461448,10.342146779078318,250.0,254.8,246.0,163.0,1.1661903789690602,5490546763,Rozgrzewka
111,845.0,3.41,151,166,6.0,6.0,162,1.49,198.0,169,150.5,5.539629951540085,1.699673171197595,249.0,249.66666666666663,248.0,162.5,0.5,5490545848,Rozgrzewka
72,738.0,2.47,148,164,56.0,56.0,160,1.22,163.0,198,149.0,10.738042445229745,116.53439175972866,193.0,289.90909090909093,175.0,177.0,17.497618885627457,5490545151,RT
117,834.0,3.38,157,169,4.0,4.0,161,1.51,203.0,165,163.5,10.034316120194738,6.944222218666553,245.0,248.3333333333333,242.0,161.5,1.6393596310755,5490544454,Rozgrzewka
347,1227.0,5.34,166,187,61.0,61.0,169,1.55,320.0,199,169.0,6.039223643997813,7.135591542869215,229.0,228.5,220.0,169.0,0.816496580927726,5490543725,Rozgrzewka
238,1010.0,3.78,154,185,34.0,34.0,160,1.4,247.0,168,154.5,4.609772228646444,4.968651728587948,267.5,267.25,260.0,159.0,2.29128784747792,5490542745,Rozgrzewka
165,896.0,5.18,144,156,6.0,6.0,178,1.94,198.0,208,146.5,6.465721580423607,5.418486873657626,173.0,173.8,165.0,178.0,3.858612300930075,5471013473,BC 3
240,1050.0,4.13,143,161,4.0,4.0,158,1.49,230.0,192,146.0,9.558242516278815,13.75454470347892,260.0,255.75,234.0,158.0,1.8547236990991407,5471012614,Rozgrzewka
306,1975.0,8.62,162,186,12.0,12.0,165,1.59,506.0,189,161.0,10.788654305722982,15.365505700500025,235.0,228.11111111111111,203.0,165.0,4.0,5447600518,BC 2
201,1208.0,6.02,147,166,7.0,7.0,170,1.76,273.0,176,148.0,2.249716535431946,4.374801582802229,202.0,200.8333333333333,192.0,171.0,2.1852940772540506,5440228775,BC 2
106,1743.0,8.41,153,176,174.0,174.0,168,1.72,407.0,178,164.0,13.817148050408722,1.4142135623730951,208.0,207.5,205.0,168.0,0.9428090415820634,5336292591,BC 2
98,1130.0,3.5,138,155,96.0,96.0,157,1.19,220.0,194,139.0,4.026164427839479,12.600215557630966,321.0,324.1111111111111,309.0,157.0,2.8653097563788803,5336291136,fartelek
101,1899.0,6.43,128,176,128.0,128.0,169,1.17,301.0,193,128.0,12.256517540566824,802.6632914086703,176.5,634.875,157.0,177.0,26.89531603627959,5336289241,BC 3
22,1864.0,7.96,155,173,88.0,88.0,165,1.55,447.0,175,149.5,12.5,14.0,241.0,241.0,227.0,164.0,3.0,5313814148,BC 1
237,2121.0,9.72,164,180,335.0,335.0,168,1.64,525.0,174,166.0,9.0,2.0,218.0,218.0,216.0,168.5,0.5,5291874992,BC 2
33,845.0,3.0,150,170,67.0,67.0,165,1.27,184.0,197,148.0,5.68584988272544,73.30116796129373,273.5,276.7142857142857,194.0,178.0,13.14635564202744,5291856478,fartelek
313,2373.0,7.32,143,178,18.0,18.0,155,1.12,440.0,230,143.5,10.547511554864494,511.3739877740174,188.0,614.0909090909091,158.0,149.5,30.40924567006262,5277937633,BC 3
63,1776.0,8.34,155,175,1.0,1.0,166,1.7,403.0,177,157.5,13.972629494837395,3.059309562630104,214.0,212.875,206.0,166.0,0.7806247497997998,5271158150,BC 2
